index,mot,phoneme
0_11_18,a,a
0_11_18,aha,a
0_11_18,aha,a
0_11_18,haha,a
0_11_18,haha,a
0_11_18,hahaa,a
0_11_18,hahaa,a
0_11_18,hahaa,a
0_11_18,aaaa,a
0_11_18,aaaa,a
0_11_18,aaaa,a
0_11_18,aaaa,a
0_11_18,əəː,ə
0_11_18,əəː,ə
0_11_18,ə,ə
0_11_18,aːta,a
0_11_18,aːta,a
0_11_18,aːta,t
0_11_18,aaaee,a
0_11_18,aaaee,a
0_11_18,aaaee,a
0_11_18,aaaee,e
0_11_18,aaaee,e
0_11_18,eː,e
0_11_18,aː,a
0_11_18,yliːs,l
0_11_18,yliːs,s
0_11_18,yliːs,i
0_11_18,yliːs,y
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,la,a
0_11_18,la,l
0_11_18,tu,t
0_11_18,tu,u
0_11_18,d,d
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,ta,a
0_11_18,ta,t
0_11_18,pa,a
0_11_18,pa,p
0_11_18,pʁ0t,t
0_11_18,pʁ0t,p
0_11_18,pʁ0t,0
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,ɛpʁɛ,ɛ
0_11_18,ɛpʁɛ,ɛ
0_11_18,ɛpʁɛ,p
0_11_18,swila,a
0_11_18,swila,l
0_11_18,swila,s
0_11_18,swila,i
0_11_18,swila,w
0_11_18,pa,a
0_11_18,pa,p
0_11_18,pʁ0t,t
0_11_18,pʁ0t,p
0_11_18,pʁ0t,0
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,kyp,k
0_11_18,kyp,p
0_11_18,kyp,y
0_11_18,d,d
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,t0tʁ2t,t
0_11_18,t0tʁ2t,t
0_11_18,t0tʁ2t,t
0_11_18,t0tʁ2t,0
0_11_18,t0tʁ2t,2
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,ɔ,ɔ
0_11_18,ɔ,ɔ
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,kwa,a
0_11_18,kwa,k
0_11_18,kwa,w
0_11_18,sa,a
0_11_18,sa,s
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,kwa,a
0_11_18,kwa,k
0_11_18,kwa,w
0_11_18,sa,a
0_11_18,sa,s
0_11_18,ta,a
0_11_18,ta,t
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,kwa,a
0_11_18,kwa,k
0_11_18,kwa,w
0_11_18,sa,a
0_11_18,sa,s
0_11_18,ta,a
0_11_18,ta,t
0_11_18,a,a
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,m1,m
0_11_18,m1,1
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,ta,a
0_11_18,ta,t
0_11_18,syʁ,s
0_11_18,syʁ,y
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,sepol,l
0_11_18,sepol,e
0_11_18,sepol,s
0_11_18,sepol,p
0_11_18,sepol,o
0_11_18,də,ə
0_11_18,də,d
0_11_18,papa,a
0_11_18,papa,a
0_11_18,papa,p
0_11_18,papa,p
0_11_18,tu,t
0_11_18,tu,u
0_11_18,papa,a
0_11_18,papa,a
0_11_18,papa,p
0_11_18,papa,p
0_11_18,papa,a
0_11_18,papa,a
0_11_18,papa,p
0_11_18,papa,p
0_11_18,mam0,a
0_11_18,mam0,m
0_11_18,mam0,m
0_11_18,mam0,0
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,lata,a
0_11_18,lata,a
0_11_18,lata,l
0_11_18,lata,t
0_11_18,e,e
0_11_18,sɛʁse,e
0_11_18,sɛʁse,s
0_11_18,sɛʁse,s
0_11_18,sɛʁse,ɛ
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,gʁɔ,ɔ
0_11_18,gʁɔ,g
0_11_18,ɔ,ɔ
0_11_18,akɔlɔʁ,a
0_11_18,akɔlɔʁ,l
0_11_18,akɔlɔʁ,k
0_11_18,akɔlɔʁ,ɔ
0_11_18,akɔlɔʁ,ɔ
0_11_18,ləpɔt,l
0_11_18,ləpɔt,ə
0_11_18,ləpɔt,t
0_11_18,ləpɔt,p
0_11_18,ləpɔt,ɔ
0_11_18,a,a
0_11_18,ta,a
0_11_18,ta,t
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,i,i
0_11_18,vɔ,v
0_11_18,vɔ,ɔ
0_11_18,fɛ,ɛ
0_11_18,fɛ,f
0_11_18,tu,t
0_11_18,tu,u
0_11_18,osi,s
0_11_18,osi,i
0_11_18,osi,o
0_11_18,te,e
0_11_18,te,t
0_11_18,ɛsɛs,s
0_11_18,ɛsɛs,s
0_11_18,ɛsɛs,ɛ
0_11_18,ɛsɛs,ɛ
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,a,a
0_11_18,zue,e
0_11_18,zue,u
0_11_18,zue,z
0_11_18,avɛk,a
0_11_18,avɛk,ɛ
0_11_18,avɛk,k
0_11_18,avɛk,v
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,kyyb,k
0_11_18,kyyb,y
0_11_18,kyyb,y
0_11_18,kyyb,b
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,a,a
0_11_18,0kɔl,l
0_11_18,0kɔl,k
0_11_18,0kɔl,0
