index,mot,phoneme
1_00_05,œ,œ
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,aga,a
1_00_05,aga,a
1_00_05,aga,g
1_00_05,gagad,a
1_00_05,gagad,a
1_00_05,gagad,d
1_00_05,gagad,g
1_00_05,gagad,g
1_00_05,bøgaga,a
1_00_05,bøgaga,a
1_00_05,bøgaga,b
1_00_05,bøgaga,ø
1_00_05,bøgaga,g
1_00_05,bøgaga,g
1_00_05,øga,a
1_00_05,øga,ø
1_00_05,øga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,bøga,a
1_00_05,bøga,b
1_00_05,bøga,ø
1_00_05,bøga,g
1_00_05,aː,a
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,ala,a
1_00_05,ala,a
1_00_05,ala,l
1_00_05,ga,a
1_00_05,ga,g
1_00_05,gala,a
1_00_05,gala,a
1_00_05,gala,l
1_00_05,gala,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,ba,a
1_00_05,ba,b
1_00_05,ada,a
1_00_05,ada,a
1_00_05,ada,d
1_00_05,œga,a
1_00_05,œga,œ
1_00_05,œga,g
1_00_05,bœ,b
1_00_05,bœ,œ
1_00_05,lœga,a
1_00_05,lœga,l
1_00_05,lœga,œ
1_00_05,lœga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,la,a
1_00_05,la,l
1_00_05,lala,a
1_00_05,lala,a
1_00_05,lala,l
1_00_05,lala,l
1_00_05,ga,a
1_00_05,ga,g
1_00_05,ma,a
1_00_05,ma,m
1_00_05,œgad,a
1_00_05,œgad,d
1_00_05,œgad,œ
1_00_05,œgad,g
1_00_05,lala,a
1_00_05,lala,a
1_00_05,lala,l
1_00_05,lala,l
1_00_05,lala,a
1_00_05,lala,a
1_00_05,lala,l
1_00_05,lala,l
1_00_05,ga,a
1_00_05,ga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,gœga,a
1_00_05,gœga,œ
1_00_05,gœga,g
1_00_05,gœga,g
1_00_05,gla,a
1_00_05,gla,l
1_00_05,gla,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,gøga,a
1_00_05,gøga,ø
1_00_05,gøga,g
1_00_05,gøga,g
1_00_05,gøga,a
1_00_05,gøga,ø
1_00_05,gøga,g
1_00_05,gøga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,a,a
1_00_05,deda,a
1_00_05,deda,e
1_00_05,deda,d
1_00_05,deda,d
1_00_05,œgaga,a
1_00_05,œgaga,a
1_00_05,œgaga,œ
1_00_05,œgaga,g
1_00_05,œgaga,g
1_00_05,øtata,a
1_00_05,øtata,a
1_00_05,øtata,t
1_00_05,øtata,t
1_00_05,øtata,ø
1_00_05,mœ,m
1_00_05,mœ,œ
1_00_05,gœgagagøgaga,a
1_00_05,gœgagagøgaga,a
1_00_05,gœgagagøgaga,a
1_00_05,gœgagagøgaga,a
1_00_05,gœgagagøgaga,ø
1_00_05,gœgagagøgaga,œ
1_00_05,gœgagagøgaga,g
1_00_05,gœgagagøgaga,g
1_00_05,gœgagagøgaga,g
1_00_05,gœgagagøgaga,g
1_00_05,gœgagagøgaga,g
1_00_05,gœgagagøgaga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,møbøn,m
1_00_05,møbøn,n
1_00_05,møbøn,b
1_00_05,møbøn,ø
1_00_05,møbøn,ø
1_00_05,œbøbøbø,b
1_00_05,œbøbøbø,b
1_00_05,œbøbøbø,b
1_00_05,œbøbøbø,ø
1_00_05,œbøbøbø,ø
1_00_05,œbøbøbø,ø
1_00_05,œbøbøbø,œ
1_00_05,øgøgaga,a
1_00_05,øgøgaga,a
1_00_05,øgøgaga,ø
1_00_05,øgøgaga,ø
1_00_05,øgøgaga,g
1_00_05,øgøgaga,g
1_00_05,øgøgaga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,bøga,a
1_00_05,bøga,b
1_00_05,bøga,ø
1_00_05,bøga,g
1_00_05,la,a
1_00_05,la,l
1_00_05,bøgaga,a
1_00_05,bøgaga,a
1_00_05,bøgaga,b
1_00_05,bøgaga,ø
1_00_05,bøgaga,g
1_00_05,bøgaga,g
1_00_05,øga,a
1_00_05,øga,ø
1_00_05,øga,g
1_00_05,gøga,a
1_00_05,gøga,ø
1_00_05,gøga,g
1_00_05,gøga,g
1_00_05,gøgagagaga,a
1_00_05,gøgagagaga,a
1_00_05,gøgagagaga,a
1_00_05,gøgagagaga,a
1_00_05,gøgagagaga,ø
1_00_05,gøgagagaga,g
1_00_05,gøgagagaga,g
1_00_05,gøgagagaga,g
1_00_05,gøgagagaga,g
1_00_05,gøgagagaga,g
1_00_05,mmœmœmœ,m
1_00_05,mmœmœmœ,m
1_00_05,mmœmœmœ,m
1_00_05,mmœmœmœ,m
1_00_05,mmœmœmœ,œ
1_00_05,mmœmœmœ,œ
1_00_05,mmœmœmœ,œ
1_00_05,ane,a
1_00_05,ane,e
1_00_05,ane,n
1_00_05,nanenane,a
1_00_05,nanenane,a
1_00_05,nanenane,e
1_00_05,nanenane,e
1_00_05,nanenane,n
1_00_05,nanenane,n
1_00_05,nanenane,n
1_00_05,nanenane,n
1_00_05,mømømø,m
1_00_05,mømømø,m
1_00_05,mømømø,m
1_00_05,mømømø,ø
1_00_05,mømømø,ø
1_00_05,mømømø,ø
1_00_05,mømø,m
1_00_05,mømø,m
1_00_05,mømø,ø
1_00_05,mømø,ø
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,øtata,a
1_00_05,øtata,a
1_00_05,øtata,t
1_00_05,øtata,t
1_00_05,øtata,ø
1_00_05,ta,a
1_00_05,ta,t
1_00_05,tøtøtatataː,a
1_00_05,tøtøtatataː,a
1_00_05,tøtøtatataː,a
1_00_05,tøtøtatataː,t
1_00_05,tøtøtatataː,t
1_00_05,tøtøtatataː,t
1_00_05,tøtøtatataː,t
1_00_05,tøtøtatataː,t
1_00_05,tøtøtatataː,ø
1_00_05,tøtøtatataː,ø
1_00_05,egega,a
1_00_05,egega,e
1_00_05,egega,e
1_00_05,egega,g
1_00_05,egega,g
1_00_05,galala,a
1_00_05,galala,a
1_00_05,galala,a
1_00_05,galala,l
1_00_05,galala,l
1_00_05,galala,g
1_00_05,œnøn2,n
1_00_05,œnøn2,n
1_00_05,œnøn2,2
1_00_05,œnøn2,ø
1_00_05,œnøn2,œ
1_00_05,ɛnen2,e
1_00_05,ɛnen2,ɛ
1_00_05,ɛnen2,n
1_00_05,ɛnen2,n
1_00_05,ɛnen2,2
1_00_05,ne2,e
1_00_05,ne2,n
1_00_05,ne2,2
1_00_05,aøː,a
1_00_05,aøː,ø
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,agagatata,a
1_00_05,agagatata,a
1_00_05,agagatata,a
1_00_05,agagatata,a
1_00_05,agagatata,a
1_00_05,agagatata,t
1_00_05,agagatata,t
1_00_05,agagatata,g
1_00_05,agagatata,g
1_00_05,øtata,a
1_00_05,øtata,a
1_00_05,øtata,t
1_00_05,øtata,t
1_00_05,øtata,ø
1_00_05,yjyː,y
1_00_05,yjyː,y
1_00_05,yjyː,j
1_00_05,etetetetata,a
1_00_05,etetetetata,a
1_00_05,etetetetata,e
1_00_05,etetetetata,e
1_00_05,etetetetata,e
1_00_05,etetetetata,e
1_00_05,etetetetata,t
1_00_05,etetetetata,t
1_00_05,etetetetata,t
1_00_05,etetetetata,t
1_00_05,etetetetata,t
1_00_05,bødada,a
1_00_05,bødada,a
1_00_05,bødada,d
1_00_05,bødada,d
1_00_05,bødada,b
1_00_05,bødada,ø
1_00_05,n0n0n02ː,0
1_00_05,n0n0n02ː,0
1_00_05,n0n0n02ː,0
1_00_05,n0n0n02ː,n
1_00_05,n0n0n02ː,n
1_00_05,n0n0n02ː,n
1_00_05,n0n0n02ː,2
1_00_05,eeː,e
1_00_05,eeː,e
1_00_05,ty,t
1_00_05,ty,y
1_00_05,e,e
1_00_05,deː,e
1_00_05,deː,d
1_00_05,aː,a
1_00_05,dø,d
1_00_05,dø,ø
1_00_05,ananeyː,a
1_00_05,ananeyː,a
1_00_05,ananeyː,e
1_00_05,ananeyː,n
1_00_05,ananeyː,n
1_00_05,ananeyː,y
1_00_05,ananan0n0,a
1_00_05,ananan0n0,a
1_00_05,ananan0n0,a
1_00_05,ananan0n0,0
1_00_05,ananan0n0,0
1_00_05,ananan0n0,n
1_00_05,ananan0n0,n
1_00_05,ananan0n0,n
1_00_05,ananan0n0,n
1_00_05,øgagaga,a
1_00_05,øgagaga,a
1_00_05,øgagaga,a
1_00_05,øgagaga,ø
1_00_05,øgagaga,g
1_00_05,øgagaga,g
1_00_05,øgagaga,g
1_00_05,ønadawa,a
1_00_05,ønadawa,a
1_00_05,ønadawa,a
1_00_05,ønadawa,d
1_00_05,ønadawa,n
1_00_05,ønadawa,w
1_00_05,ønadawa,ø
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,nta,a
1_00_05,nta,t
1_00_05,nta,n
1_00_05,ta,a
1_00_05,ta,t
1_00_05,ta,a
1_00_05,ta,t
1_00_05,kada,a
1_00_05,kada,a
1_00_05,kada,k
1_00_05,kada,d
1_00_05,øja,a
1_00_05,øja,j
1_00_05,øja,ø
1_00_05,kyɥala,a
1_00_05,kyɥala,a
1_00_05,kyɥala,l
1_00_05,kyɥala,k
1_00_05,kyɥala,y
1_00_05,kyɥala,ɥ
1_00_05,lala,a
1_00_05,lala,a
1_00_05,lala,l
1_00_05,lala,l
1_00_05,nanaː,a
1_00_05,nanaː,a
1_00_05,nanaː,n
1_00_05,nanaː,n
1_00_05,døma,a
1_00_05,døma,d
1_00_05,døma,m
1_00_05,døma,ø
1_00_05,døma,a
1_00_05,døma,d
1_00_05,døma,m
1_00_05,døma,ø
1_00_05,ʁsatsetsetse,a
1_00_05,ʁsatsetsetse,e
1_00_05,ʁsatsetsetse,e
1_00_05,ʁsatsetsetse,e
1_00_05,ʁsatsetsetse,s
1_00_05,ʁsatsetsetse,s
1_00_05,ʁsatsetsetse,s
