index,mot,phoneme
1_00_09,aː,a
1_00_09,øː,ø
1_00_09,aː,a
1_00_09,ɔ,ɔ
1_00_09,oː,o
1_00_09,œː,œ
1_00_09,œːvy,v
1_00_09,œːvy,y
1_00_09,œːvy,œ
1_00_09,œː,œ
1_00_09,mː,m
1_00_09,mː,m
1_00_09,aː,a
1_00_09,aːɛː,a
1_00_09,aːɛː,ɛ
1_00_09,ɛː,ɛ
1_00_09,aiː,a
1_00_09,aiː,i
1_00_09,iː,i
1_00_09,œː,œ
1_00_09,aː,a
1_00_09,œː,œ
1_00_09,aː,a
1_00_09,œ,œ
1_00_09,2ː,2
1_00_09,2,2
1_00_09,2,2
1_00_09,2,2
1_00_09,œ,œ
1_00_09,œ,œ
1_00_09,mː,m
1_00_09,mː,m
1_00_09,eː,e
1_00_09,jɛː,ɛ
1_00_09,jɛː,j
1_00_09,aiː,a
1_00_09,aiː,i
1_00_09,iː,i
1_00_09,iː,i
1_00_09,aː,a
1_00_09,ɛːjeː,e
1_00_09,ɛːjeː,ɛ
1_00_09,ɛːjeː,j
1_00_09,œː,œ
1_00_09,mː,m
1_00_09,aː,a
1_00_09,aː,a
1_00_09,ɔː,ɔ
1_00_09,m,m
1_00_09,mː,m
1_00_09,ɛː,ɛ
1_00_09,iː,i
1_00_09,a,a
1_00_09,eː,e
1_00_09,mː,m
1_00_09,mː,m
1_00_09,aːm,a
1_00_09,aːm,m
1_00_09,mː,m
1_00_09,mː,m
1_00_09,mː,m
1_00_09,aːœː,a
1_00_09,aːœː,œ
1_01_14,ɛː,ɛ
1_01_14,mː,m
1_01_14,mː,m
1_01_14,aːm,a
1_01_14,aːm,m
1_01_14,aː,a
1_01_14,aː,a
1_01_14,a,a
1_01_14,œː,œ
1_01_14,vyː,v
1_01_14,vyː,y
1_01_14,ve,e
1_01_14,ve,v
1_01_14,deglɛ,l
1_01_14,deglɛ,e
1_01_14,deglɛ,ɛ
1_01_14,deglɛ,d
1_01_14,deglɛ,g
1_01_14,deglɛ,l
1_01_14,deglɛ,e
1_01_14,deglɛ,ɛ
1_01_14,deglɛ,d
1_01_14,deglɛ,g
1_01_14,aː,a
1_01_14,avɛvɛ,a
1_01_14,avɛvɛ,ɛ
1_01_14,avɛvɛ,ɛ
1_01_14,avɛvɛ,v
1_01_14,avɛvɛ,v
1_01_14,mː,m
1_01_14,a,a
1_01_14,œː,œ
1_01_14,m,m
1_01_14,m,m
1_01_14,m,m
1_01_14,aː,a
1_01_14,iː,i
1_01_14,mː,m
1_01_14,ɛː,ɛ
1_01_14,aːm,a
1_01_14,aːm,m
1_01_14,mː,m
1_01_14,aːm,a
1_01_14,aːm,m
1_01_14,aːm,a
1_01_14,aːm,m
1_01_14,miaːma,a
1_01_14,miaːma,a
1_01_14,miaːma,i
1_01_14,miaːma,m
1_01_14,miaːma,m
1_01_14,a,a
1_01_14,a,a
1_01_14,a,a
1_01_14,aː,a
1_01_14,kʁ,k
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,eː,e
1_01_14,eː,e
1_01_14,m,m
1_01_14,m,m
1_01_14,m,m
1_01_14,m,m
1_01_14,m,m
1_01_14,m,m
1_01_14,mː,m
1_01_14,aːm,a
1_01_14,aːm,m
1_01_14,mamameːam,a
1_01_14,mamameːam,a
1_01_14,mamameːam,a
1_01_14,mamameːam,e
1_01_14,mamameːam,m
1_01_14,mamameːam,m
1_01_14,mamameːam,m
1_01_14,mamameːam,m
1_01_14,puː,p
1_01_14,puː,u
1_01_14,puː,p
1_01_14,puː,u
1_01_14,mː,m
1_01_14,ejaː,a
1_01_14,ejaː,e
1_01_14,ejaː,j
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,aː,a
1_01_14,mː,m
1_01_14,mː,m
1_01_14,aː,a
1_01_14,ga,a
1_01_14,ga,g
1_01_14,ga,a
1_01_14,ga,g
1_01_14,aːm,a
1_01_14,aːm,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,aː,a
1_01_14,mː,m
1_01_14,mː,m
1_01_14,aːmː,a
1_01_14,aːmː,m
1_01_14,mː,m
1_01_14,2ː,2
1_01_14,aːmː,a
1_01_14,aːmː,m
1_01_14,neː,e
1_01_14,neː,n
1_01_14,mː,m
1_01_14,neː,e
1_01_14,neː,n
1_01_14,œːna,a
1_01_14,œːna,n
1_01_14,œːna,œ
1_01_14,nː,n
1_01_14,mː,m
1_01_14,eː,e
1_01_14,eː,e
1_01_14,2ː,2
1_01_14,mː,m
1_01_14,aːm,a
1_01_14,aːm,m
1_01_14,aː,a
1_01_14,œ,œ
1_01_14,mː,m
1_01_14,dɛː,ɛ
1_01_14,dɛː,d
1_01_14,œː,œ
1_01_14,m,m
1_01_14,m,m
1_01_14,m,m
1_01_14,m,m
1_01_14,eː,e
1_01_14,mː,m
1_01_14,mː,m
1_01_14,aː,a
1_01_14,œbo,o
1_01_14,œbo,b
1_01_14,œbo,œ
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,liːk,l
1_01_14,liːk,i
1_01_14,liːk,k
1_01_14,œː,œ
1_01_14,lœ,l
1_01_14,lœ,œ
1_01_14,œːlœː,l
1_01_14,œːlœː,œ
1_01_14,œːlœː,œ
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,mː,m
1_01_14,m,m
1_01_14,aː,a
1_01_14,aː,a
1_01_14,œ,œ
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,œtɛtɛː,ɛ
1_01_14,œtɛtɛː,ɛ
1_01_14,œtɛtɛː,t
1_01_14,œtɛtɛː,t
1_01_14,œtɛtɛː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,m,m
1_01_14,m,m
1_01_14,diː,i
1_01_14,diː,d
1_01_14,aː,a
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,mː,m
1_01_14,aː,a
1_01_14,aʃaː,a
1_01_14,aʃaː,a
1_01_14,aʃaː,ʃ
1_01_14,a,a
1_01_14,mː,m
1_01_14,œlapaːu,a
1_01_14,œlapaːu,a
1_01_14,œlapaːu,l
1_01_14,œlapaːu,p
1_01_14,œlapaːu,u
