index,mot,phoneme
1_04_20,taptaptjapbjabja,a
1_04_20,taptaptjapbjabja,a
1_04_20,taptaptjapbjabja,a
1_04_20,taptaptjapbjabja,t
1_04_20,taptaptjapbjabja,t
1_04_20,taptaptjapbjabja,t
1_04_20,taptaptjapbjabja,p
1_04_20,taptaptjapbjabja,p
1_04_20,taptaptjapbjabja,p
1_04_20,taptaptjapbjabja,b
1_04_20,taptaptjapbjabja,b
1_04_20,taptaptjapbjabja,j
1_04_20,taptaptjapbjabja,j
1_04_20,taptaptjapbjabja,j
1_04_20,tapa,a
1_04_20,tapa,a
1_04_20,tapa,t
1_04_20,tapa,p
1_04_20,tapa,a
1_04_20,tapa,a
1_04_20,tapa,t
1_04_20,tapa,p
1_04_20,ta,a
1_04_20,ta,t
1_04_20,tapata,a
1_04_20,tapata,a
1_04_20,tapata,a
1_04_20,tapata,t
1_04_20,tapata,t
1_04_20,tapata,p
1_04_20,duama,a
1_04_20,duama,a
1_04_20,duama,d
1_04_20,duama,m
1_04_20,duama,u
1_04_20,tlabatabətəbə,a
1_04_20,tlabatabətəbə,a
1_04_20,tlabatabətəbə,a
1_04_20,tlabatabətəbə,l
1_04_20,tlabatabətəbə,ə
1_04_20,tlabatabətəbə,ə
1_04_20,tlabatabətəbə,ə
1_04_20,tlabatabətəbə,t
1_04_20,tlabatabətəbə,t
1_04_20,tlabatabətəbə,t
1_04_20,tlabatabətəbə,b
1_04_20,tlabatabətəbə,b
1_04_20,tlabatabətəbə,b
1_04_20,topapapapapa,a
1_04_20,topapapapapa,a
1_04_20,topapapapapa,a
1_04_20,topapapapapa,a
1_04_20,topapapapapa,a
1_04_20,topapapapapa,t
1_04_20,topapapapapa,p
1_04_20,topapapapapa,p
1_04_20,topapapapapa,p
1_04_20,topapapapapa,p
1_04_20,topapapapapa,p
1_04_20,topapapapapa,o
1_04_20,lela,a
1_04_20,lela,l
1_04_20,lela,l
1_04_20,lela,e
1_04_20,nɛbʁ2,ɛ
1_04_20,nɛbʁ2,n
1_04_20,nɛbʁ2,2
1_04_20,nɛbʁ2,b
1_04_20,tətɛm,ɛ
1_04_20,tətɛm,ə
1_04_20,tətɛm,t
1_04_20,tətɛm,t
1_04_20,tətɛm,m
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,kal2,a
1_04_20,kal2,l
1_04_20,kal2,k
1_04_20,kal2,2
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,ə,ə
1_04_20,ne,e
1_04_20,ne,n
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,tane,a
1_04_20,tane,e
1_04_20,tane,t
1_04_20,tane,n
1_04_20,a,a
1_04_20,betɛ,e
1_04_20,betɛ,ɛ
1_04_20,betɛ,t
1_04_20,betɛ,b
1_04_20,ə,ə
1_04_20,ne,e
1_04_20,ne,n
1_04_20,ɔ,ɔ
1_04_20,mam0ː,a
1_04_20,mam0ː,m
1_04_20,mam0ː,m
1_04_20,mam0ː,0
1_04_20,sidab2,a
1_04_20,sidab2,s
1_04_20,sidab2,i
1_04_20,sidab2,d
1_04_20,sidab2,2
1_04_20,sidab2,b
1_04_20,dam2,a
1_04_20,dam2,d
1_04_20,dam2,m
1_04_20,dam2,2
1_04_20,ɔət2,ə
1_04_20,ɔət2,t
1_04_20,ɔət2,ɔ
1_04_20,ɔət2,2
1_04_20,le,l
1_04_20,le,e
1_04_20,ne,e
1_04_20,ne,n
1_04_20,mane,a
1_04_20,mane,e
1_04_20,mane,m
1_04_20,mane,n
1_04_20,se,e
1_04_20,se,s
1_04_20,na,a
1_04_20,na,n
1_04_20,tawela,a
1_04_20,tawela,a
1_04_20,tawela,l
1_04_20,tawela,e
1_04_20,tawela,t
1_04_20,tawela,w
1_04_20,pjepepe,e
1_04_20,pjepepe,e
1_04_20,pjepepe,e
1_04_20,pjepepe,p
1_04_20,pjepepe,p
1_04_20,pjepepe,p
1_04_20,pjepepe,j
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,bebebe,e
1_04_20,bebebe,e
1_04_20,bebebe,e
1_04_20,bebebe,b
1_04_20,bebebe,b
1_04_20,bebebe,b
1_04_20,pepe,e
1_04_20,pepe,e
1_04_20,pepe,p
1_04_20,pepe,p
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,amna,a
1_04_20,amna,a
1_04_20,amna,m
1_04_20,amna,n
1_04_20,mna,a
1_04_20,mna,m
1_04_20,mna,n
1_04_20,mna,a
1_04_20,mna,m
1_04_20,mna,n
1_04_20,mna,a
1_04_20,mna,m
1_04_20,mna,n
1_04_20,mna,a
1_04_20,mna,m
1_04_20,mna,n
1_04_20,mna,a
1_04_20,mna,m
1_04_20,mna,n
1_04_20,mna,a
1_04_20,mna,m
1_04_20,mna,n
1_04_20,mnam,a
1_04_20,mnam,m
1_04_20,mnam,m
1_04_20,mnam,n
1_04_20,tumanaɛ,a
1_04_20,tumanaɛ,a
1_04_20,tumanaɛ,ɛ
1_04_20,tumanaɛ,t
1_04_20,tumanaɛ,m
1_04_20,tumanaɛ,n
1_04_20,tumanaɛ,u
1_04_20,mnamna,a
1_04_20,mnamna,a
1_04_20,mnamna,m
1_04_20,mnamna,m
1_04_20,mnamna,n
1_04_20,mnamna,n
1_04_20,mnjema,a
1_04_20,mnjema,e
1_04_20,mnjema,m
1_04_20,mnjema,m
1_04_20,mnjema,n
1_04_20,mnjema,j
1_04_20,mnammnammnammnja,a
1_04_20,mnammnammnammnja,a
1_04_20,mnammnammnammnja,a
1_04_20,mnammnammnammnja,a
1_04_20,mnammnammnammnja,m
1_04_20,mnammnammnammnja,m
1_04_20,mnammnammnammnja,m
1_04_20,mnammnammnammnja,m
1_04_20,mnammnammnammnja,m
1_04_20,mnammnammnammnja,m
1_04_20,mnammnammnammnja,m
1_04_20,mnammnammnammnja,n
